,,Projected Population in Different Age Group - 2016,,,,,,Projected Population in Different Age Group - 2016,,,,,,Projected Population in Different Age Group - 2016,,,,,
,,All Categories,,,,,,All Categories,,,,,,,All Categories,,,,
Sl. No.,"States/
Union Territories",6-10 Years,,,11-13 Years,,,14-15 Years,,,16-17 Years,,,18-22 Years,,,18-23 Years,,
,,Male ,Female ,Total,Male ,Female ,Total,Male ,Female ,Total,Male ,Female ,Total,Male ,Female ,Total,Male ,Female ,Total
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Andaman & Nicobar Islands,17547,17768,35315,11034,11198,22232,7445,7342,14787,7370,7051,14421,19972,19251,39223,24296,23307,47603
2,Andhra Pradesh,2165879,2032435,4198320,1309000,1229445,2538440,878164,808087,1686248,822455,734236,1556791,2344099,2387504,4731543,2760044,2788649,5548650
3,Arunachal Pradesh,88695,85828,174523,39439,38352,77791,30205,29669,59874,28632,28242,56874,69316,69914,139230,80541,80447,160988
4,Assam,1792270,1714270,3506540,944482,894428,1838910,642329,602244,1244573,586643,518283,1104926,1546881,1635571,3182452,1806802,1906442,3713244
5,Bihar,7834139,7183699,15017838,3654434,3076180,6730614,2370409,1995382,4365791,1906551,1564932,3471483,5269811,4718060,9987871,5941675,5462006,11403681
6,Chandigarh,64141,50332,114473,38857,28864,67721,26498,19667,46165,28245,19678,47923,89324,61468,150792,105717,73968,179685
7,Chhattisgarh,1426051,1366390,2792441,830310,796071,1626381,546053,530586,1076639,514632,504639,1019271,1328639,1330971,2659610,1545673,1560650,3106323
8,Dadra & Nagar Haveli,22677,21183,43860,13014,12029,25043,7753,6846,14599,7606,5930,13536,32687,19098,51785,38285,22805,61090
9,Daman & Diu,12245,9874,22119,6981,5443,12424,4908,3432,8340,6907,3359,10266,36743,11685,48428,42713,13970,56683
10,Delhi,932351,772148,1704499,501072,373164,874236,358943,288617,647560,365133,297886,663019,1057009,862555,1919564,1241134,1026558,2267692
11,Goa,63815,56872,120687,39187,34258,73445,25869,22771,48640,25080,22060,47140,80878,64259,145137,96321,76994,173315
12,Gujarat,3131580,2676818,5808398,1983836,1612562,3596398,1274419,1069701,2344120,1173777,1015643,2189420,3234390,2905752,6140142,3784827,3416767,7201594
13,Haryana,1417048,1139139,2556187,871900,637313,1509213,586044,457816,1043860,556999,443083,1000082,1483955,1231919,2715874,1729834,1455379,3185213
14,Himachal Pradesh,310230,277932,588162,187787,166434,354221,126856,112130,238986,126260,110951,237211,321872,296940,618812,380847,354769,735616
15,Jammu and Kashmir,768343,684339,1452682,463187,402469,865656,266608,239804,506412,219449,201365,420814,579854,543739,1123593,681446,637974,1319420
16,Jharkhand,2094954,1982485,4077439,1053701,959941,2013642,732980,659783,1392763,619095,539123,1158218,1676271,1624446,3300717,1913309,1877542,3790851
17,Karnataka,2708279,2541403,5249682,1642854,1499687,3142541,1122367,1009641,2132008,1067538,975006,2042544,3085356,2965950,6051306,3608150,3444297,7052447
18,Kerala,1322468,1264005,2586473,836058,782395,1618453,552430,519647,1072077,529559,508487,1038046,1276155,1252793,2528948,1512481,1509510,3021991
19,Lakshadweep,2910,3063,5973,1713,2092,3805,1169,1260,2429,1123,1320,2443,3020,2928,5948,3650,3535,7185
20,Madhya Pradesh,4483383,4101956,8585339,2683176,2306242,4989418,1704062,1498467,3202529,1500092,1334971,2835063,4060065,3545146,7605211,4671898,4175062,8846960
21,Maharastra,5436233,4822446,10258679,3289087,2774192,6063279,2189693,1902342,4092035,2161544,1883503,4045047,5972288,5358983,11331271,7002901,6303252,13306153
22,Manipur,135579,128327,263906,62313,58775,121088,46532,45411,91943,44277,44464,88741,119677,123758,243435,141963,146883,288846
23,Meghalaya,197854,190891,388745,85549,82146,167695,61026,59852,120878,62607,60997,123604,143705,147632,291337,168382,173718,342100
24,Mizoram,60221,57932,118153,26366,24827,51193,19415,18683,38098,20977,20305,41282,54130,54812,108942,64435,65270,129705
25,Nagaland,124124,115154,239278,57247,51877,109124,43031,39649,82680,43701,41958,85659,107235,103432,210667,125144,120813,245957
26,Odisha,2024695,1938522,3963217,1207617,1144379,2351996,792994,777861,1570855,683450,678401,1361851,1980001,1984129,3964130,2315718,2324310,4640028
27,Puducherry,66578,56117,122695,40924,34250,75174,27137,22592,49729,25575,21196,46771,67292,62272,129564,79972,75287,155259
28,Punjab,1361168,1085894,2447062,858821,639245,1498066,578327,441057,1019384,554743,430423,985166,1499615,1218856,2718471,1752878,1452451,3205329
29,Rajasthan,4372919,3865172,8238091,2431366,2020487,4451853,1648854,1416317,3065171,1487917,1306276,2794193,4013897,3625509,7639406,4596084,4222419,8818503
30,Sikkim,30017,29096,59113,15131,14408,29539,11461,11289,22750,12598,12374,24972,33904,31946,65850,40364,37775,78139
31,Tamil Nadu,2848615,2686363,5534978,1931547,1775449,3706996,1255352,1148801,2404153,1132653,1041881,2174534,3033104,3003806,6036910,3598596,3588775,7187371
32,Tripura,174325,165492,339817,81625,76730,158355,60964,58189,119153,67916,62696,130612,179891,188936,368827,213365,222332,435697
33,Telangana,1627916,1523895,3151805,1013421,952944,1966370,661574,620579,1282156,586417,545930,1132247,1709057,1729503,3438620,2002767,2015840,4018650
34,Uttar Pradesh,14594470,12827401,27421871,8197959,6660213,14858172,5366586,4698593,10065179,4383379,4110258,8493637,11660260,10076142,21736402,13076573,11626012,24702585
35,Uttarakhand,595813,527407,1123220,363309,324289,687598,237365,215993,453358,213132,193956,407088,541256,505064,1046320,621556,589907,1211463
